epoch,loss(MSE),lr,time,tr_E(MAE),tr_F(MAE),val_E(MAE),val_F(MAE),irc_E(MAE),irc_F(MAE),test_E(MAE),test_F(MAE)
1.00000,168.60890,0.00010,15803.71438,2.73052,2.02817,2.25205,1.97388,0.00000,0.00000,0.00000,0.00000
2.00000,84.73375,0.00010,15669.66828,1.82626,1.53749,2.32137,1.79165,0.00000,0.00000,0.00000,0.00000
3.00000,67.82223,0.00010,15760.53777,1.62413,1.39081,2.16050,1.71729,0.00000,0.00000,0.00000,0.00000
4.00000,59.44936,0.00010,15671.33095,1.53089,1.30675,1.85342,1.67184,0.00000,0.00000,0.00000,0.00000
5.00000,53.74728,0.00010,15791.25864,1.46543,1.25002,1.88375,1.57774,0.00000,0.00000,0.00000,0.00000
6.00000,50.27225,0.00010,15674.24604,1.42676,1.20687,1.86164,1.59664,0.00000,0.00000,0.00000,0.00000
7.00000,47.60701,0.00010,15673.11146,1.40877,1.17456,1.60253,1.55939,0.00000,0.00000,0.00000,0.00000
8.00000,45.39316,0.00010,15786.35538,1.38306,1.14783,2.02023,1.49720,0.00000,0.00000,0.00000,0.00000
9.00000,43.89192,0.00010,15659.05195,1.36400,1.12623,2.03121,1.55251,0.00000,0.00000,0.00000,0.00000
10.00000,42.52136,0.00010,17014.22175,1.34873,1.10781,1.77727,1.47905,0.00000,0.00000,1.87599,1.57622
11.00000,41.24828,0.00010,15776.76417,1.33441,1.09135,1.62811,1.47445,0.00000,0.00000,0.00000,0.00000
12.00000,39.98941,0.00010,15671.21852,1.31903,1.07664,1.95222,1.43837,0.00000,0.00000,0.00000,0.00000
13.00000,39.46485,0.00010,15805.04129,1.32183,1.06435,2.00117,1.43248,0.00000,0.00000,0.00000,0.00000
14.00000,38.57347,0.00010,15922.69163,1.31061,1.05399,1.58714,1.41240,0.00000,0.00000,0.00000,0.00000
15.00000,37.76609,0.00010,16058.48584,1.29290,1.04349,1.50792,1.44789,0.00000,0.00000,0.00000,0.00000
16.00000,37.12478,0.00010,16084.63722,1.29779,1.03456,1.51788,1.41487,0.00000,0.00000,0.00000,0.00000
17.00000,36.52618,0.00010,15998.28383,1.27656,1.02628,2.09256,1.42772,0.00000,0.00000,0.00000,0.00000
18.00000,36.22035,0.00010,16024.22717,1.29100,1.02018,1.55680,1.41095,0.00000,0.00000,0.00000,0.00000
19.00000,35.81217,0.00010,16126.75535,1.27803,1.01339,1.49865,1.38958,0.00000,0.00000,0.00000,0.00000
20.00000,35.22112,0.00010,16022.70292,1.27126,1.00752,1.41097,1.41342,0.00000,0.00000,0.00000,0.00000
21.00000,34.88675,0.00010,16016.43861,1.26878,1.00153,1.46685,1.39840,0.00000,0.00000,0.00000,0.00000
22.00000,34.46237,0.00010,16023.00057,1.26032,0.99678,2.77866,1.35132,0.00000,0.00000,0.00000,0.00000
23.00000,34.31175,0.00010,17339.02050,1.26300,0.99142,1.45631,1.38519,0.00000,0.00000,1.52698,1.46898
24.00000,34.00175,0.00010,16078.35474,1.25985,0.98735,1.44626,1.38939,0.00000,0.00000,0.00000,0.00000
25.00000,33.53292,0.00010,16115.70966,1.24736,0.98233,2.21971,1.37106,0.00000,0.00000,0.00000,0.00000
26.00000,33.23931,0.00010,16103.25227,1.24042,0.97819,1.56498,1.41281,0.00000,0.00000,0.00000,0.00000
27.00000,33.10031,0.00010,16095.56330,1.25139,0.97455,1.41699,1.38399,0.00000,0.00000,0.00000,0.00000
28.00000,32.92586,0.00010,16019.11205,1.27287,0.97098,1.75114,1.39902,0.00000,0.00000,0.00000,0.00000
29.00000,32.70121,0.00010,15972.64754,1.24561,0.96899,1.58873,1.36245,0.00000,0.00000,0.00000,0.00000
30.00000,32.52228,0.00010,16108.03406,1.24387,0.96548,1.37175,1.37427,0.00000,0.00000,0.00000,0.00000
31.00000,32.36148,0.00010,16114.51100,1.25852,0.96214,1.40144,1.37114,0.00000,0.00000,0.00000,0.00000
32.00000,32.04621,0.00010,16020.58982,1.23906,0.95910,2.24417,1.41500,0.00000,0.00000,0.00000,0.00000
33.00000,31.91689,0.00010,16033.17235,1.24026,0.95605,1.39429,1.38873,0.00000,0.00000,0.00000,0.00000
34.00000,31.89114,0.00010,17353.03197,1.23990,0.95429,1.59936,1.34976,0.00000,0.00000,1.68785,1.44307
35.00000,31.50992,0.00010,16104.67765,1.23681,0.95032,1.45222,1.39010,0.00000,0.00000,0.00000,0.00000
36.00000,31.38827,0.00010,16124.90866,1.21085,0.94842,1.37195,1.36062,0.00000,0.00000,0.00000,0.00000
37.00000,31.11090,0.00010,16042.50576,1.22601,0.94520,1.36493,1.34954,0.00000,0.00000,0.00000,0.00000
38.00000,31.10650,0.00010,16109.74589,1.22691,0.94327,1.57199,1.37957,0.00000,0.00000,0.00000,0.00000
39.00000,31.01371,0.00010,16123.28121,1.23622,0.94074,1.56971,1.35176,0.00000,0.00000,0.00000,0.00000
40.00000,30.80196,0.00010,16111.04694,1.22148,0.93874,1.59397,1.36456,0.00000,0.00000,0.00000,0.00000
41.00000,30.73818,0.00010,16142.60969,1.24039,0.93646,1.44240,1.35376,0.00000,0.00000,0.00000,0.00000
42.00000,30.59153,0.00010,16125.70166,1.21425,0.93540,1.68587,1.32675,0.00000,0.00000,0.00000,0.00000
43.00000,30.46501,0.00010,16016.17119,1.21752,0.93258,2.06433,1.33344,0.00000,0.00000,0.00000,0.00000
44.00000,30.35040,0.00010,16024.51215,1.21366,0.93091,1.97505,1.34031,0.00000,0.00000,0.00000,0.00000
45.00000,30.19178,0.00010,16031.85194,1.21026,0.92914,1.48915,1.37278,0.00000,0.00000,0.00000,0.00000
46.00000,30.09122,0.00010,16006.67203,1.20252,0.92713,1.42626,1.37315,0.00000,0.00000,0.00000,0.00000
47.00000,30.00465,0.00010,16037.73494,1.19708,0.92592,1.51666,1.33705,0.00000,0.00000,0.00000,0.00000
48.00000,29.87703,0.00010,16026.89974,1.20275,0.92377,1.42954,1.34813,0.00000,0.00000,0.00000,0.00000
